ric,status,n_MID_PRICE,n_TRDPRC_1,reused_from
UUUUT212601650.U^H26,observed,25,20,
UUUUT212601700.U^H26,observed,45,41,
UUUUT212601750.U^H26,observed,10,3,
UUUUT212601800.U^H26,observed,45,36,
UUUUT212601850.U^H26,observed,10,4,
UUUUT282601050.U^H26,observed,28,16,
UUUUT282601100.U^H26,observed,32,25,
UUUUT282601150.U^H26,observed,25,20,
UUUUT282601200.U^H26,observed,27,24,
UUUUT282601250.U^H26,observed,33,28,
UUUUT282601300.U^H26,observed,33,28,
UUUUT282601350.U^H26,observed,35,23,
UUUUT282601400.U^H26,observed,35,28,
UUUUT282601450.U^H26,observed,36,24,
UUUUT282601500.U^H26,observed,37,26,
UUUUT282601550.U^H26,observed,37,16,
UUUUT282601600.U^H26,observed,37,25,
UUUUT282601650.U^H26,observed,37,29,
UUUUT282601700.U^H26,observed,37,31,
UUUUT282601750.U^H26,observed,37,9,
UUUUT282601800.U^H26,observed,37,14,
UUUUT282601850.U^H26,observed,36,14,
UUUUU042601050.U^I26,observed,13,11,
UUUUU042601100.U^I26,observed,17,20,
UUUUU042601150.U^I26,observed,18,19,
UUUUU042601200.U^I26,observed,26,25,
UUUUU042601250.U^I26,observed,28,23,
UUUUU042601300.U^I26,observed,30,25,
UUUUU042601350.U^I26,observed,31,21,
UUUUU042601400.U^I26,observed,31,26,
UUUUU042601450.U^I26,observed,32,21,
UUUUU042601500.U^I26,observed,32,23,
UUUUU042601550.U^I26,observed,32,23,
UUUUU042601600.U^I26,observed,32,16,
UUUUU042601650.U^I26,observed,32,23,
UUUUU042601700.U^I26,observed,32,20,
UUUUU042601750.U^I26,observed,32,8,
UUUUU042601800.U^I26,observed,31,14,
UUUUU042601850.U^I26,observed,15,5,
